,GC-1,GC-2,GC-3,GC-4,GC-5,GC-6,GC-7,GC-8
299,0.0,0.012,0.0,0.179,0.088,0.293,0.003,0.0
300,0.0,0.0,0.018,0.041,0.074,0.308,0.0,0.0
301,0.0,0.0,0.0,0.154,0.106,0.304,0.0,0.0
302,0.0,0.0,0.018,0.2215,0.237,0.184,0.0,0.0
303,0.0,0.0,0.025,0.118,0.413,0.218,0.017,0.0
304,0.012,0.02,0.0,0.208,0.525,0.199,0.012,0.016
305,0.0,0.009,0.0,0.222,0.511,0.19,0.0,0.0
306,0.0,0.025,0.011,0.178,0.4569999999999999,1.211,0.0,0.034
307,0.0,0.0,0.0,0.09,0.357,0.331,0.04,0.0
308,0.0,0.0,0.035,0.176,0.59,0.252,0.0,0.0
309,0.0,0.0,0.0,0.118,0.8340000000000001,0.211,0.0,0.0
310,0.023,0.0,0.0,0.127,0.8069999999999999,0.108,0.0,0.0
311,0.0,0.0,0.307,0.134,0.866,1.024,0.0,0.009
312,0.0,0.0,0.026,0.168,0.954,3.2960000000000003,0.0,0.0
313,0.016,0.0,0.018,0.166,1.526,0.914,0.0,0.006
314,0.0,0.008,0.0,0.267,1.4540000000000002,0.317,0.0,0.0
315,0.0,0.014,0.007,0.223,1.4489999999999998,0.413,0.02,0.014
316,0.0,0.0,0.0,0.214,1.53,0.165,0.009,0.022
317,0.0,0.0,0.0,0.221,1.5710000000000002,0.373,0.01,0.033
318,0.0,0.0564999999999999,0.0,0.1685,1.5619999999999998,0.33,0.0,0.024
319,0.0,0.0,0.026,0.188,1.166,0.185,0.0,0.0
320,0.0,0.009,0.0,0.117,1.042,0.083,0.0,0.0
321,0.0,0.0,0.017,0.126,0.936,0.07,0.0,0.0
322,0.0,0.0,0.0,0.229,1.344,0.034,0.0,0.005
323,0.019,0.0,0.0,0.108,1.594,0.04,0.0,0.0
324,0.0,0.0,0.018,0.172,1.524,0.042,0.0,0.004
325,0.0,0.023,5.252,0.163,1.452,0.086,0.0,0.0
326,0.0,0.0,1.99,0.126,1.44,0.121,0.016,0.0
327,0.0,0.0,0.137,0.129,1.392,0.06,0.034,0.0
328,0.0,0.0,0.0,0.131,0.981,0.068,0.022,0.0
329,0.0,0.0,0.237,0.203,0.852,0.204,0.0,0.016
330,0.0,0.0,0.123,0.191,0.436,0.105,0.0,0.019
331,0.032,0.026,0.128,0.199,1.128,0.059,0.018,0.017
332,0.0,0.0,0.009,0.19,1.507,0.185,0.0,0.032
333,0.014,0.0,0.0,0.182,1.546,0.148,0.0,0.014
334,0.0,0.0,0.0799999999999999,0.283,1.676,0.156,0.0,0.004
335,0.0,0.0,0.402,0.346,1.7080000000000002,0.179,0.007,0.024
336,0.007,0.0,0.6,0.191,1.554,0.201,0.0,0.0
337,0.0,0.0,0.383,0.2289999999999999,1.444,0.2249999999999999,0.0,0.005
338,0.0,0.008,0.168,0.197,1.0750000000000002,0.175,0.0,0.0
339,0.025,0.0,0.155,0.173,1.194,0.238,0.0,0.0
340,0.018,0.0,1.326,0.2209999999999999,1.318,0.123,0.0,0.015
341,0.014,0.038,4.904999999999999,0.2299999999999999,1.099,0.145,0.043,0.0
342,0.077,0.0,0.207,0.2299999999999999,1.376,0.181,0.0,0.023
343,0.0,0.0,0.098,0.462,1.1989999999999998,0.066,0.0,0.0
344,0.009,0.0,0.069,0.279,0.85,0.203,0.0,0.007
345,0.022,0.0,0.108,0.423,0.804,0.141,0.0,0.0
346,0.019,0.0,0.0839999999999999,0.498,0.964,0.067,0.023,0.0
347,0.031,0.022,0.151,0.6779999999999999,1.029,0.1639999999999999,0.0,0.0
348,0.009,0.0,0.149,1.401,1.17,0.137,0.0,0.0
349,0.0,0.0,0.063,1.675,0.976,0.162,0.3475,0.017
350,0.0,0.0,0.0829999999999999,1.42,1.062,0.169,0.0,0.0
351,0.028,0.0,0.026,1.4169999999999998,1.204,0.25,0.0,0.026
352,0.135,0.0,0.016,1.812,1.428,0.244,0.0,0.0
353,0.014,0.025,0.016,1.296,1.516,0.178,0.0,0.0
354,0.003,0.0,0.027,1.1,1.773,0.208,0.008,0.0279999999999999
355,0.042,0.0,0.003,1.065,1.551,0.254,0.002,0.0
356,0.0,0.0,0.108,1.151,1.779,0.319,0.0,0.0
357,0.018,0.0,0.015,1.125,1.749,0.24,0.0,0.02
358,0.37,0.0,0.05,1.211,1.823,0.3269999999999999,0.0,0.0
359,0.308,0.0,0.023,1.261,2.006,0.413,0.0,0.021
360,0.132,0.0,0.008,0.986,1.923,0.469,0.0,0.0
361,1.011,0.0,0.0,0.813,1.769,0.43,0.0,0.0
362,0.616,0.0,0.02,0.5335,1.808,0.509,0.002,0.005
