"","timestamp_datetime","GC1_PM2_5","GC2_PM2_5","GC3_PM2_5","GC4_PM2_5","GC5_PM2_5","GC6_PM2_5","GC7_PM2_5","GC8_PM2_5","GC9_PM2_5","GC10_PM2_5"
"83417",2024-02-22 23:10:16,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA
"83419",2024-02-22 23:10:18,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"83440",2024-02-22 23:10:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"83526",2024-02-22 23:12:05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83527",2024-02-22 23:12:06,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA
"83529",2024-02-22 23:12:08,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"83534",2024-02-22 23:12:13,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"83536",2024-02-22 23:12:15,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"83537",2024-02-22 23:12:16,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"83539",2024-02-22 23:12:18,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"83560",2024-02-22 23:12:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"83626",2024-02-22 23:13:45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83628",2024-02-22 23:13:47,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"83629",2024-02-22 23:13:48,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"83634",2024-02-22 23:13:53,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"83635",2024-02-22 23:13:54,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA
"83637",2024-02-22 23:13:56,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"83638",2024-02-22 23:13:57,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"83639",2024-02-22 23:13:58,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA
"83680",2024-02-22 23:14:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"83746",2024-02-22 23:15:45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83748",2024-02-22 23:15:47,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"83749",2024-02-22 23:15:48,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA
"83754",2024-02-22 23:15:53,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"83755",2024-02-22 23:15:54,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA
"83757",2024-02-22 23:15:56,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"83758",2024-02-22 23:15:57,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"83759",2024-02-22 23:15:58,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"83800",2024-02-22 23:16:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"83866",2024-02-22 23:17:45,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83868",2024-02-22 23:17:47,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA
"83869",2024-02-22 23:17:48,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA
"83874",2024-02-22 23:17:53,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA
"83875",2024-02-22 23:17:54,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA
"83877",2024-02-22 23:17:56,NA,NA,NA,NA,NA,0.05,NA,0.33,NA,NA
"83878",2024-02-22 23:17:57,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA
"83879",2024-02-22 23:17:58,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA
"83920",2024-02-22 23:18:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"83986",2024-02-22 23:19:45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83988",2024-02-22 23:19:47,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"83989",2024-02-22 23:19:48,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"83994",2024-02-22 23:19:53,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA
"83995",2024-02-22 23:19:54,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA
"83997",2024-02-22 23:19:56,NA,NA,NA,NA,NA,0,NA,0.09,NA,NA
"83998",2024-02-22 23:19:57,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"83999",2024-02-22 23:19:58,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA
"84040",2024-02-22 23:20:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"84106",2024-02-22 23:21:45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84108",2024-02-22 23:21:47,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA
"84109",2024-02-22 23:21:48,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA
"84114",2024-02-22 23:21:53,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"84115",2024-02-22 23:21:54,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
